PROVIDER_ID,PROVIDER_NAME,PROVIDER_TYPE,CITY,STATE,REGION,ACCREDITATION,STATUS,OPEN_DATE
PR001,Apollo Cancer Centre,HOSPITAL,CHENNAI,TN,SOUTH,NABH,ACTIVE,2015-01-01
PR002,Tata Memorial Hospital,HOSPITAL,MUMBAI,MH,WEST,NABH,ACTIVE,2010-03-15
PR003,AIIMS Oncology,HOSPITAL,DELHI,DL,NORTH,NABH,ACTIVE,2008-06-10
PR004,Narayana Health Oncology,HOSPITAL,BENGALURU,KA,SOUTH,NABH,ACTIVE,2012-09-20
PR005,Aster Oncology,HOSPITAL,KOCHI,KL,SOUTH,NABH,ACTIVE,2016-11-05
PR006,Fortis Cancer Institute,HOSPITAL,NOIDA,UP,NORTH,NABH,ACTIVE,2014-04-12
PR007,Ruby Hall Clinic Oncology,HOSPITAL,PUNE,MH,WEST,NABH,ACTIVE,2013-03-25
PR008,AMRI Hospitals Oncology,HOSPITAL,KOLKATA,WB,EAST,NABH,ACTIVE,2016-07-19
PR009,Zydus Hospitals Oncology,HOSPITAL,AHMEDABAD,GJ,WEST,NABH,ACTIVE,2019-01-30
PR010,SMS Medical College Oncology,HOSPITAL,JAIPUR,RJ,NORTH,NABH,ACTIVE,2020-05-18
PR011,Indore Cancer Center,HOSPITAL,INDORE,MP,CENTRAL,NABH,ACTIVE,2021-01-16
PR012,Coimbatore Oncology Clinic,CLINIC,COIMBATORE,TN,SOUTH,NA,ACTIVE,2022-06-21
PR013,Surat Oncology Clinic,CLINIC,SURAT,GJ,WEST,NA,ACTIVE,2021-03-11
PR014,Trivandrum Oncology Clinic,CLINIC,TRIVANDRUM,KL,SOUTH,NA,ACTIVE,2020-08-09
PR015,Lucknow Cancer Clinic,CLINIC,LUCKNOW,UP,NORTH,NA,ACTIVE,2023-02-10
